Vertebra,Label,Volume (voxels)_Before,Connected Components_Before,Surface Triangles_Before,Compactness_Before,Volume (voxels)_After,Connected Components_After,Surface Triangles_After,Compactness_After,Component_Improvement,Compactness_Improvement
C1,1,18429,1,19240,144.8124267690489,17207,1,11582,123.7123650787245,0,21.100061690324395
C2,2,20354,6,20776,147.12725583806835,19113,1,12310,122.03820905392807,5,25.08904678414028
C3,3,20387,8,21000,149.27106080834758,19062,1,12204,120.78189114699214,7,28.489169661355447
C4,4,15718,15,19996,179.89430201276164,14555,1,10426,124.90858416787992,14,54.98571784488172
C5,5,6935,17,15382,275.0886963033725,2268,1,3800,103.28383250124388,16,171.80486380212864
C6,6,18145,16,21690,176.04851070835755,14678,1,9466,107.14967541282577,15,68.89883529553178
C7,7,17800,17,23796,206.22244807106517,11141,1,8082,111.38737994395323,16,94.83506812711194
T1,8,16482,17,23396,217.12133929462644,15373,1,11630,139.32565649617104,16,77.7956827984554
T2,9,10501,18,20414,277.75475795919976,6197,1,9276,144.1649261381867,17,133.58983182101306
T3,10,16743,16,25034,236.57132080974142,15292,1,13114,167.70693707255342,15,68.864383737188
T4,11,12219,25,19806,228.11796951679736,9914,1,8086,125.23821116729712,24,102.87975834950024
T5,12,9606,22,16382,218.27691148438356,7538,1,9660,125.95330171976889,21,92.32360976461467
T6,13,8687,15,14654,204.20410080382723,6763,1,8580,117.51452361127635,14,86.68957719255089
T7,14,7354,5,11506,167.82742415713193,6155,1,8396,124.99153097315192,4,42.835893183980005
T8,15,6834,3,10952,167.71240169712468,5773,1,8236,129.47113326752606,2,38.24126842959862
T9,16,6922,2,10602,157.7066857003296,5909,1,8432,131.0333688520637,1,26.673316848265898
T10,17,6855,4,10252,151.4277387522111,5973,1,8484,130.83034150230122,3,20.597397249909875
T11,18,5181,4,9382,175.39998449108603,4311,1,6768,129.1553801962819,3,46.244604294804134
T12,19,4721,7,8726,172.6588375137738,3919,1,6136,122.64582330711491,6,50.01301420665888
L1,20,4257,7,8142,172.58100626273597,3648,1,5450,110.29096173008776,6,62.29004453264821
L2,21,3812,5,7178,159.533645377819,3190,1,4928,108.4464564290116,4,51.087188948807395
L3,22,3737,2,6728,147.6746248764995,3195,1,4928,108.27674366464696,1,39.39788121185255
L4,23,5446,2,8424,141.97108462818602,4807,1,6644,112.66014699201975,1,29.310937636166273
L5,24,4746,11,8364,161.17337578813758,3990,1,6128,120.22789386055692,10,40.94548192758066
